Área de Conhecimento;Disciplina;Tópico;Subtópico
Ciências da Natureza e suas Tecnologias;Biologia;Origem e evolução da vida;Teoria evolutiva de Charles Darwin
Ciências da Natureza e suas Tecnologias;Biologia;Origem e evolução da vida;Teoria sintética da evolução
Ciências da Natureza e suas Tecnologias;Biologia;Origem e evolução da vida;Seleção artificial e seu impacto sobre ambientes naturais e sobre populações humanas
Ciências da Natureza e suas Tecnologias;Biologia;Qualidade de vida das populações humanas;Aspectos biológicos da pobreza e do desenvolvimento humano
Ciências da Natureza e suas Tecnologias;Biologia;Qualidade de vida das populações humanas;Indicadores sociais, ambientais e econômicos. Índice de desenvolvimento humano
Ciências da Natureza e suas Tecnologias;Biologia;Qualidade de vida das populações humanas;Principais doenças que afetam a população brasileira: caracterização, prevenção e profilaxia
Ciências da Natureza e suas Tecnologias;Biologia;Qualidade de vida das populações humanas;Noções de primeiros socorros
Ciências da Natureza e suas Tecnologias;Biologia;Qualidade de vida das populações humanas;Infecções Sexualmente Transmissíveis
Ciências da Natureza e suas Tecnologias;Biologia;Qualidade de vida das populações humanas;Aspectos sociais da biologia: uso indevido de drogas, gravidez na adolescência, obesidade
Ciências da Natureza e suas Tecnologias;Biologia;Qualidade de vida das populações humanas;Violência e segurança pública
Ciências da Natureza e suas Tecnologias;Biologia;Qualidade de vida das populações humanas;Exercícios físicos e vida saudável
Ciências da Natureza e suas Tecnologias;Biologia;Qualidade de vida das populações humanas;Aspectos biológicos do desenvolvimento sustentável
Ciências da Natureza e suas Tecnologias;Biologia;Qualidade de vida das populações humanas;Legislação e cidadania
Ciências Humanas e suas Tecnologias;;Diversidade cultural, conflitos e vida em sociedade;Cultura material e imaterial: patrimônio e diversidade cultural no Brasil
Ciências Humanas e suas Tecnologias;;Diversidade cultural, conflitos e vida em sociedade;A Conquista da América: conflitos entre europeus e indígenas na América colonial
Ciências Humanas e suas Tecnologias;;Diversidade cultural, conflitos e vida em sociedade;A escravidão e as formas de resistência indígena e africana na América
Ciências Humanas e suas Tecnologias;;Diversidade cultural, conflitos e vida em sociedade;História cultural dos povos africanos: a luta dos negros no Brasil e o negro na formação da sociedade brasileira
Ciências Humanas e suas Tecnologias;;Diversidade cultural, conflitos e vida em sociedade;História dos povos indígenas e a formação sócio-cultural brasileira
Ciências Humanas e suas Tecnologias;;Diversidade cultural, conflitos e vida em sociedade;Movimentos culturais no mundo ocidental e seus impactos na vida política e social
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Cidadania e democracia na Antiguidade
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Estado e direitos do cidadão a partir da Idade Moderna
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Democracia direta, indireta e representativa
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Revoluções sociais e políticas na Europa Moderna
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Formação territorial brasileira
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Regiões brasileiras
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Políticas de reordenamento territorial
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Lutas pela conquista da independência política das colônias da América
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Grupos sociais em conflito no Brasil imperial e a construção da nação
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Desenvolvimento do pensamento liberal na sociedade capitalista e seus críticos nos séculos XIX e XX
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Políticas de colonização, migração, imigração e emigração no Brasil nos séculos XIX e XX
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Atuação dos grupos sociais e os grandes processos revolucionários do século XX: Revolução Bolchevique, Revolução Chinesa, Revolução Cubana
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Geopolítica e conflitos entre os séculos XIX e XX: Imperialismo, a ocupação da Ásia e da África, as Guerras Mundiais e a Guerra Fria
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Sistemas totalitários na Europa do século XX: nazifascista, franquismo, salazarismo e stalinismo
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Ditaduras políticas na América Latina: Estado Novo no Brasil e ditaduras na América
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Conflitos político-culturais pós-Guerra Fria, reorganização política internacional e os organismos multilaterais nos séculos XX e XXI
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Luta pela conquista de direitos pelos cidadãos: direitos civis, humanos, políticos e sociais
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Direitos sociais nas constituições brasileiras
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Políticas afirmativas
Ciências Humanas e suas Tecnologias;;Formas de organização social, movimentos sociais, pensamento político e ação do Estado;Vida urbana: redes e hierarquia nas cidades, pobreza e segregação espacial
Ciências Humanas e suas Tecnologias;;Características e transformações das estruturas produtivas;Diferentes formas de organização da produção: escravismo antigo, feudalismo, capitalismo, socialismo e suas diferentes experiências
Ciências Humanas e suas Tecnologias;;Características e transformações das estruturas produtivas;Economia agroexportadora brasileira: complexo açucareiro, mineração no período colonial, economia cafeeira e borracha na Amazônia
Ciências Humanas e suas Tecnologias;;Características e transformações das estruturas produtivas;Revolução Industrial: criação do sistema de fábrica na Europa e transformações no processo de produção
Ciências Humanas e suas Tecnologias;;Características e transformações das estruturas produtivas;Formação do espaço urbano-industrial
Ciências Humanas e suas Tecnologias;;Características e transformações das estruturas produtivas;Transformações na estrutura produtiva no século XX: fordismo, toyotismo, novas técnicas de produção e seus impactos
Ciências Humanas e suas Tecnologias;;Características e transformações das estruturas produtivas;Industrialização brasileira, urbanização e transformações sociais e trabalhistas
Ciências Humanas e suas Tecnologias;;Características e transformações das estruturas produtivas;Globalização e novas tecnologias de telecomunicação e suas consequências econômicas, políticas e sociais
Ciências Humanas e suas Tecnologias;;Características e transformações das estruturas produtivas;Produção e transformação dos espaços agrários
Ciências Humanas e suas Tecnologias;;Características e transformações das estruturas produtivas;Modernização da agricultura e estruturas agrárias tradicionais
Ciências Humanas e suas Tecnologias;;Características e transformações das estruturas produtivas;Agronegócio, agricultura familiar, assalariados do campo e lutas sociais no campo
Ciências Humanas e suas Tecnologias;;Características e transformações das estruturas produtivas;Relação campo-cidade
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Relação homem-natureza e a apropriação dos recursos naturais pelas sociedades ao longo do tempo
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Impacto ambiental das atividades econômicas no Brasil
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Recursos minerais e energéticos: exploração e impactos
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Recursos hídricos
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Bacias hidrográficas e seus aproveitamentos
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Questões ambientais contemporâneas: mudança climática, ilhas de calor, efeito estufa, chuva ácida, destruição da camada de ozônio
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Nova ordem ambiental internacional
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Políticas territoriais ambientais
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Uso e conservação dos recursos naturais, unidades de conservação, corredores ecológicos, zoneamento ecológico e econômico
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Origem e evolução do conceito de sustentabilidade
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Estrutura interna da terra
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Estruturas do solo e do relevo
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Agentes internos e externos modeladores do relevo
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Situação geral da atmosfera e classificação climática
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Características climáticas do território brasileiro
Ciências Humanas e suas Tecnologias;;Os domínios naturais e a relação do ser humano com o ambiente;Grandes domínios da vegetação no Brasil e no mundo
Ciências Humanas e suas Tecnologias;;Representação espacial;"Projeções cartográficas; leitura de mapas temáticos, físicos e políticos; tecnologias modernas aplicadas à cartografia"
